Player,role
Philipp Max,Defender
Jonathan Schmid,Midfielder
Alfreð Finnbogason,Forward
Andreas Luthe,Goalkeeper
Dong-Won Ji,Forward
Rani Khedira,Midfielder
Kevin Danso,Defender
Marco Richter,Midfielder
Jeffrey Gouweleeuw,Defender
André Hahn,Midfielder
Caiuby,Midfielder
Michael Gregoritsch,Forward
Raphael Framberger,Defender
Daniel Baier,Midfielder
Konstantinos Stafylidis,Defender
Sergio Córdova,Forward
Koo Ja-Cheol,Midfielder
Julian Schieber,Forward
Jan Morávek,Midfielder
Georg Teigl,Midfielder
Felix Götze,Midfielder
Fredrik Jensen,Midfielder
Reece Oxford,Defender
Gregor Kobel,Goalkeeper
Christoph Janker,Defender
Jan-Ingwer Callsen-Bracker,Defender
Fabian Giefer,Goalkeeper
Simon Asta,Defender
